16:14:11.706 INFO  manager.ApplicationManager - All tests run in Chrome browser
16:14:12.399 INFO  manager.ApplicationManager - The link----->https://telranedu.web.app/home
16:14:12.547 INFO  tests.TestBase - Name of method----->removeFirstContact
16:14:12.556 INFO  manager.ListenerWD - before find element: By.xpath: //*[text()='Sign Out']
16:14:17.656 INFO  manager.ListenerWD - element found success: By.xpath: //*[text()='Sign Out']
16:14:17.657 INFO  manager.ListenerWD - before find element: By.xpath: //a[text()='LOGIN']
16:14:17.692 INFO  manager.ListenerWD - element found success: By.xpath: //a[text()='LOGIN']
16:14:17.707 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //a[text()='LOGIN']]
16:14:17.805 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //a[text()='LOGIN']]
16:14:17.806 INFO  manager.ListenerWD - before find element: By.cssSelector: input[placeholder='Email']
16:14:17.843 INFO  manager.ListenerWD - element found success: By.cssSelector: input[placeholder='Email']
16:14:17.843 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: input[placeholder='Email']]
16:14:17.921 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: input[placeholder='Email']]
16:14:18.152 INFO  manager.ListenerWD - before find element: By.xpath: //input[@placeholder='Password']
16:14:18.172 INFO  manager.ListenerWD - element found success: By.xpath: //input[@placeholder='Password']
16:14:18.172 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //input[@placeholder='Password']]
16:14:18.232 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //input[@placeholder='Password']]
16:14:18.390 INFO  manager.ListenerWD - before find element: By.xpath: //button[text()='Login']
16:14:18.409 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
16:14:18.410 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //button[text()='Login']]
16:14:18.473 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //button[text()='Login']]
16:14:18.474 INFO  tests.TestBase - before method need log in
16:14:18.474 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:14:23.519 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
